#  Band    State   TwistIndex BandIndex Energy      Kx      Ky      Kz      K1      K2      K3    KmK 
       0        0        0        0    -0.297239  0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
       1        1        1        0     0.021109 -0.9313  0.0000  0.0000 -0.5000 -0.0000 -0.5000      1
       2        2        2        0     0.021109  0.0000 -0.9313  0.0000 -0.5000 -0.5000 -0.0000      1
       3        3        3        0     0.021109  0.0000  0.0000 -0.9313 -0.0000 -0.5000 -0.5000      1
       4        4        1        1     0.021112 -0.9313  0.0000  0.0000 -0.5000 -0.0000 -0.5000      1
       5        5        2        1     0.021112  0.0000 -0.9313  0.0000 -0.5000 -0.5000 -0.0000      1
       6        6        3        1     0.021112  0.0000  0.0000 -0.9313 -0.0000 -0.5000 -0.5000      1
       7        7        1        2     0.254733 -0.9313  0.0000  0.0000 -0.5000 -0.0000 -0.5000      1
       8        8        1        3     0.254733 -0.9313  0.0000  0.0000 -0.5000 -0.0000 -0.5000      1
       9        9        2        2     0.254733  0.0000 -0.9313  0.0000 -0.5000 -0.5000 -0.0000      1
      10       10        2        3     0.254733  0.0000 -0.9313  0.0000 -0.5000 -0.5000 -0.0000      1
      11       11        3        2     0.254733  0.0000  0.0000 -0.9313 -0.0000 -0.5000 -0.5000      1
      12       12        3        3     0.254733  0.0000  0.0000 -0.9313 -0.0000 -0.5000 -0.5000      1
      13       13        0        1     0.488302  0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
      14       14        0        2     0.488302  0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
      15       15        0        3     0.488302  0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
