#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         MPC                 BlockWeight         BlockCPU            AcceptRatio         
        24   -4.5128468015e+01    2.0382407710e+03   -8.2396085887e+01    3.7267617872e+01   -1.0759062224e+01   -5.1102678377e+01   -2.4715964854e+01    4.1816195678e+00   -1.0480744187e+01    5.1200000000e+02    1.8906806706e-01    5.6138916016e-01
        25   -4.5148254608e+01    2.0393101093e+03   -8.1847935411e+01    3.6699680803e+01   -1.0750281764e+01   -5.1102678377e+01   -2.4323628566e+01    4.3286532955e+00   -1.0453251271e+01    5.1200000000e+02    1.9112035950e-01    5.6227416992e-01
        26   -4.5126200572e+01    2.0374156872e+03   -8.1295989062e+01    3.6169788489e+01   -1.0754073806e+01   -5.1102678377e+01   -2.4619589960e+01    5.1803530811e+00   -1.0436432683e+01    5.1200000000e+02    1.9077462107e-01    5.5891113281e-01
        27   -4.5103218975e+01    2.0353134933e+03   -8.2431000787e+01    3.7327781811e+01   -1.0753423172e+01   -5.1102678377e+01   -2.5260229300e+01    4.6853300620e+00   -1.0442871892e+01    5.1200000000e+02    1.8927213756e-01    5.5988159180e-01
        28   -4.5102837928e+01    2.0352900828e+03   -8.1376219342e+01    3.6273381414e+01   -1.0797714339e+01   -5.1102678377e+01   -2.3987243893e+01    4.5114172676e+00   -1.0471572383e+01    5.1200000000e+02    1.9086995863e-01    5.5999755859e-01
        29   -4.5119714109e+01    2.0368141825e+03   -8.2371290073e+01    3.7251575964e+01   -1.0566450334e+01   -5.1102678377e+01   -2.5106884611e+01    4.4047232492e+00   -1.0261934857e+01    5.1200000000e+02    1.8755780094e-01    5.6168212891e-01
        30   -4.5064196049e+01    2.0318382098e+03   -8.2032273530e+01    3.6968077481e+01   -1.0719186657e+01   -5.1102678377e+01   -2.4455744639e+01    4.2453361423e+00   -1.0423806140e+01    5.1200000000e+02    1.9056356425e-01    5.6082763672e-01
        31   -4.5078158879e+01    2.0331873231e+03   -8.1829960120e+01    3.6751801241e+01   -1.0689088614e+01   -5.1102678377e+01   -2.4636949946e+01    4.5987568174e+00   -1.0369118485e+01    5.1200000000e+02    1.8655174300e-01    5.5983276367e-01
        32   -4.5203328622e+01    2.0443972198e+03   -8.1760509578e+01    3.6557180956e+01   -1.0925329102e+01   -5.1102678377e+01   -2.4283668339e+01    4.5511662398e+00   -1.0637409054e+01    5.1200000000e+02    1.8501309694e-01    5.5967407227e-01
        33   -4.5222702636e+01    2.0462224764e+03   -8.0931986944e+01    3.5709284308e+01   -1.0655029907e+01   -5.1102678377e+01   -2.3647054969e+01    4.4727763092e+00   -1.0344501796e+01    5.1200000000e+02    1.8863633313e-01    5.5995483398e-01
        34   -4.5087835840e+01    2.0337938560e+03   -8.2018848040e+01    3.6931012200e+01   -1.0650447728e+01   -5.1102678377e+01   -2.4644005396e+01    4.3782834609e+00   -1.0368965382e+01    5.1200000000e+02    1.9098451750e-01    5.5792846680e-01
        35   -4.5113418613e+01    2.0361973783e+03   -8.1267363246e+01    3.6153944633e+01   -1.0809832739e+01   -5.1102678377e+01   -2.3807772213e+01    4.4529200828e+00   -1.0508691940e+01    5.1200000000e+02    1.9203154756e-01    5.6113891602e-01
        36   -4.5144416058e+01    2.0392351895e+03   -8.1627993871e+01    3.6483577814e+01   -1.0705267866e+01   -5.1102678377e+01   -2.4538921129e+01    4.7188734994e+00   -1.0404768174e+01    5.1200000000e+02    1.9134273781e-01    5.6009521484e-01
        37   -4.5014234303e+01    2.0276149520e+03   -8.1607776235e+01    3.6593541932e+01   -1.0663496688e+01   -5.1102678377e+01   -2.4553808894e+01    4.7122077236e+00   -1.0343438689e+01    5.1200000000e+02    1.8830561725e-01    5.6156616211e-01
        38   -4.5118223234e+01    2.0365644945e+03   -8.1201375834e+01    3.6083152600e+01   -1.0882507286e+01   -5.1102678377e+01   -2.3420428327e+01    4.2042381568e+00   -1.0580726584e+01    5.1200000000e+02    1.8935388769e-01    5.6307373047e-01
        39   -4.5142784251e+01    2.0389724948e+03   -8.0872316748e+01    3.5729532497e+01   -1.0937651797e+01   -5.1102678377e+01   -2.3439437353e+01    4.6074507783e+00   -1.0647742302e+01    5.1200000000e+02    1.8888493575e-01    5.6046752930e-01
        40   -4.5140722418e+01    2.0389086846e+03   -8.1654513664e+01    3.6513791246e+01   -1.0695009108e+01   -5.1102678377e+01   -2.4465639074e+01    4.6088128940e+00   -1.0397734957e+01    5.1200000000e+02    1.8673039194e-01    5.6058349609e-01
        41   -4.5080439054e+01    2.0333686204e+03   -8.1607319233e+01    3.6526880179e+01   -1.0654272576e+01   -5.1102678377e+01   -2.3899347966e+01    4.0489796860e+00   -1.0364165051e+01    5.1200000000e+02    1.8673395413e-01    5.5958251953e-01
        42   -4.5097736086e+01    2.0348843709e+03   -8.2801038662e+01    3.7703302576e+01   -1.0652207469e+01   -5.1102678377e+01   -2.5404786524e+01    4.3586337075e+00   -1.0338847310e+01    5.1200000000e+02    1.9098839425e-01    5.6161499023e-01
        43   -4.5047149491e+01    2.0306349974e+03   -8.1526470587e+01    3.6479321095e+01   -1.0469293138e+01   -5.1102678377e+01   -2.4618634315e+01    4.6641352439e+00   -1.0156208549e+01    5.1200000000e+02    1.8974394106e-01    5.5927734375e-01
        44   -4.5162179733e+01    2.0407743159e+03   -8.2124537116e+01    3.6962357383e+01   -1.0698442280e+01   -5.1102678377e+01   -2.4935822843e+01    4.6124063830e+00   -1.0386526541e+01    5.1200000000e+02    1.9087685481e-01    5.6019287109e-01
        45   -4.5258436269e+01    2.0495610034e+03   -8.2130997249e+01    3.6872560980e+01   -1.0727025128e+01   -5.1102678377e+01   -2.4951234945e+01    4.6499412001e+00   -1.0438153673e+01    5.1200000000e+02    1.8832745694e-01    5.5920410156e-01
        46   -4.5096349433e+01    2.0347200910e+03   -8.1978434212e+01    3.6882084779e+01   -1.0668342677e+01   -5.1102678377e+01   -2.4595511721e+01    4.3880985620e+00   -1.0346325381e+01    5.1200000000e+02    1.8470664238e-01    5.5886840820e-01
        47   -4.5008562464e+01    2.0268783253e+03   -8.1575800118e+01    3.6567237653e+01   -1.0783082147e+01   -5.1102678377e+01   -2.4174374101e+01    4.4843345073e+00   -1.0479385633e+01    5.1200000000e+02    1.9135343987e-01    5.6078491211e-01
        48   -4.5103323132e+01    2.0353939348e+03   -8.1554201719e+01    3.6450878586e+01   -1.0758442373e+01   -5.1102678377e+01   -2.4008248735e+01    4.3151677661e+00   -1.0455594419e+01    5.1200000000e+02    1.9133864019e-01    5.6098632813e-01
        49   -4.4970460269e+01    2.0234322237e+03   -8.1241819603e+01    3.6271359334e+01   -1.0693132379e+01   -5.1102678377e+01   -2.3609385257e+01    4.1633764093e+00   -1.0385915815e+01    5.1200000000e+02    1.8683005700e-01    5.6340942383e-01
        50   -4.5127441489e+01    2.0375389053e+03   -8.1131844201e+01    3.6004402711e+01   -1.0695882953e+01   -5.1102678377e+01   -2.3889037742e+01    4.5557548708e+00   -1.0400848233e+01    5.1200000000e+02    1.8811368356e-01    5.6105957031e-01
        51   -4.5136100921e+01    2.0384048704e+03   -8.1832456738e+01    3.6696355817e+01   -1.0996347089e+01   -5.1102678377e+01   -2.4090764299e+01    4.3573330273e+00   -1.0709547703e+01    5.1200000000e+02    1.9404652175e-01    5.6450805664e-01
        52   -4.5143704877e+01    2.0390019862e+03   -8.1413903887e+01    3.6270199010e+01   -1.0852886194e+01   -5.1102678377e+01   -2.3729289871e+01    4.2709505555e+00   -1.0569442413e+01    5.1200000000e+02    1.9016495275e-01    5.6184082031e-01
        53   -4.5019247085e+01    2.0277940840e+03   -8.1564439024e+01    3.6545191939e+01   -1.0785464256e+01   -5.1102678377e+01   -2.3641638899e+01    3.9653425081e+00   -1.0478841788e+01    5.1200000000e+02    1.8912545825e-01    5.6116943359e-01
        54   -4.5079688597e+01    2.0332546035e+03   -8.2079012401e+01    3.6999323805e+01   -1.0619516242e+01   -5.1102678377e+01   -2.4565816383e+01    4.2089986000e+00   -1.0330316525e+01    5.1200000000e+02    1.9258157531e-01    5.6109008789e-01
        55   -4.5144618144e+01    2.0392967702e+03   -8.1431887277e+01    3.6287269133e+01   -1.0816394402e+01   -5.1102678377e+01   -2.4208506923e+01    4.6956924242e+00   -1.0508101992e+01    5.1200000000e+02    1.8526870969e-01    5.6174926758e-01
        56   -4.5174100756e+01    2.0419181989e+03   -8.3153770668e+01    3.7979669912e+01   -1.0504845524e+01   -5.1102678377e+01   -2.5496930064e+01    3.9506832960e+00   -1.0203692848e+01    5.1200000000e+02    1.9182075063e-01    5.6107177734e-01
        57   -4.5109027972e+01    2.0358984878e+03   -8.1493416498e+01    3.6384388527e+01   -1.0745726110e+01   -5.1102678377e+01   -2.4608248585e+01    4.9632365735e+00   -1.0458197192e+01    5.1200000000e+02    1.8846576575e-01    5.6160278320e-01
        58   -4.5057864168e+01    2.0313689779e+03   -8.1639152016e+01    3.6581287848e+01   -1.0855311981e+01   -5.1102678377e+01   -2.4398067242e+01    4.7169055843e+00   -1.0559731885e+01    5.1200000000e+02    1.8887828156e-01    5.6184082031e-01
        59   -4.5086176533e+01    2.0339899746e+03   -8.2098349053e+01    3.7012172520e+01   -1.0867757863e+01   -5.1102678377e+01   -2.4372452043e+01    4.2445392301e+00   -1.0578437888e+01    5.1200000000e+02    1.9212752481e-01    5.6060180664e-01
        60   -4.5093649899e+01    2.0343675416e+03   -8.1693344302e+01    3.6599694403e+01   -1.0845661892e+01   -5.1102678377e+01   -2.4139843916e+01    4.3948398824e+00   -1.0545165239e+01    5.1200000000e+02    1.8780887331e-01    5.6067504883e-01
