#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.6422299684e+01    5.8421865343e+03   -1.5495618069e+02    7.8533881004e+01    3.6727329264e+01    9.1895337630e+00   -2.0087304372e+02    2.0000000000e+03    2.5356337428e-01    3.1027000000e-01
         1   -7.6489981718e+01    5.8535543908e+03   -1.4458245841e+02    6.8092476696e+01    3.7910552343e+01    9.1895337630e+00   -1.9168254452e+02    2.0000000000e+03    2.5354281068e-01    3.1053000000e-01
         2   -7.6402370375e+01    5.8391066620e+03   -1.5217455183e+02    7.5772181453e+01    3.6613173435e+01    9.1895337630e+00   -1.9797725903e+02    2.0000000000e+03    2.5543931127e-01    3.1366000000e-01
         3   -7.6260860746e+01    5.8183954690e+03   -1.3746135949e+02    6.1200498740e+01    3.6905766587e+01    9.1895337630e+00   -1.8355665984e+02    2.0000000000e+03    2.5620293617e-01    3.1075000000e-01
         4   -7.6439954351e+01    5.8448948263e+03   -1.6444660178e+02    8.8006647433e+01    3.6975153968e+01    9.1895337630e+00   -2.1061128952e+02    2.0000000000e+03    2.5233677030e-01    3.1286000000e-01
         5   -7.6444864194e+01    5.8458541695e+03   -1.7413895154e+02    9.7694087351e+01    3.7685730634e+01    9.1895337630e+00   -2.2101421594e+02    2.0000000000e+03    2.5284788013e-01    3.0773000000e-01
         6   -7.6392196746e+01    5.8378873140e+03   -1.3768802894e+02    6.1295832193e+01    3.7283171035e+01    9.1895337630e+00   -1.8416073374e+02    2.0000000000e+03    2.5640258193e-01    3.1021000000e-01
         7   -7.6463779941e+01    5.8485436764e+03   -1.3153039025e+02    5.5066610308e+01    3.7160320302e+01    9.1895337630e+00   -1.7788024432e+02    2.0000000000e+03    2.5361528993e-01    3.0998000000e-01
         8   -7.6405832789e+01    5.8408168325e+03   -1.9623542345e+02    1.1982959066e+02    3.7829797271e+01    9.1895337630e+00   -2.4325475448e+02    2.0000000000e+03    2.5471228361e-01    3.0961000000e-01
         9   -7.6391908811e+01    5.8373084251e+03   -1.6374904992e+02    8.7357141109e+01    3.7167614569e+01    9.1895337630e+00   -2.1010619825e+02    2.0000000000e+03    2.5516125560e-01    3.1336000000e-01
