#  Band    State   TwistIndex BandIndex Energy      Kx      Ky      Kz      K1      K2      K3    KmK 
       0        0        7        0    -0.083510 -0.4657 -0.4657 -0.4657 -0.5000 -0.5000 -0.5000      1
       1        1       15        0    -0.083510  0.4657 -0.4657 -0.4657 -0.0000 -0.5000 -0.0000      1
       2        2       23        0    -0.083510 -0.4657  0.4657 -0.4657 -0.0000 -0.0000 -0.5000      1
       3        3       31        0    -0.083510 -0.4657 -0.4657  0.4657 -0.5000 -0.0000 -0.0000      1
       4        4        7        1    -0.006801 -0.4657 -0.4657 -0.4657 -0.5000 -0.5000 -0.5000      1
       5        5       15        1    -0.006801  0.4657 -0.4657 -0.4657 -0.0000 -0.5000 -0.0000      1
       6        6       23        1    -0.006801 -0.4657  0.4657 -0.4657 -0.0000 -0.0000 -0.5000      1
       7        7       31        1    -0.006801 -0.4657 -0.4657  0.4657 -0.5000 -0.0000 -0.0000      1
       8        8        7        2     0.384787 -0.4657 -0.4657 -0.4657 -0.5000 -0.5000 -0.5000      1
       9        9        7        3     0.384787 -0.4657 -0.4657 -0.4657 -0.5000 -0.5000 -0.5000      1
      10       10       15        2     0.384787  0.4657 -0.4657 -0.4657 -0.0000 -0.5000 -0.0000      1
      11       11       15        3     0.384787  0.4657 -0.4657 -0.4657 -0.0000 -0.5000 -0.0000      1
      12       12       23        2     0.384787 -0.4657  0.4657 -0.4657 -0.0000 -0.0000 -0.5000      1
      13       13       23        3     0.384787 -0.4657  0.4657 -0.4657 -0.0000 -0.0000 -0.5000      1
      14       14       31        2     0.384787 -0.4657 -0.4657  0.4657 -0.5000 -0.0000 -0.0000      1
      15       15       31        3     0.384787 -0.4657 -0.4657  0.4657 -0.5000 -0.0000 -0.0000      1
