#  Band    State   TwistIndex BandIndex Energy      Kx      Ky      Kz      K1      K2      K3    KmK 
       0        0       18        0    -0.213905  0.0000 -1.3970 -0.0000 -0.7500 -0.7500 -0.0000      2
       1        2       26        0     0.051718  0.0000 -0.4657 -0.9313 -0.2500 -0.7500 -0.5000      2
       2        4       26        1     0.051722  0.0000 -0.4657 -0.9313 -0.2500 -0.7500 -0.5000      2
       3        6       26        2     0.177646  0.0000 -0.4657 -0.9313 -0.2500 -0.7500 -0.5000      2
       4        8       26        3     0.177647  0.0000 -0.4657 -0.9313 -0.2500 -0.7500 -0.5000      2
       5       10       18        1     0.322845  0.0000 -1.3970 -0.0000 -0.7500 -0.7500 -0.0000      2
       6       12       18        2     0.335190  0.0000 -1.3970 -0.0000 -0.7500 -0.7500 -0.0000      2
       7       14       18        3     0.335190  0.0000 -1.3970 -0.0000 -0.7500 -0.7500 -0.0000      2
