#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.6342683491e+01    5.8336905859e+03   -1.5274339371e+02    7.6400710218e+01    3.7504500813e+01    9.1895337630e+00   -1.9943742829e+02    8.1920000000e+03    1.2909550824e-01    3.0813964844e-01
         1   -7.6372731342e+01    5.8377626290e+03   -1.5236596384e+02    7.5993232502e+01    3.7345509319e+01    9.1895337630e+00   -1.9890100693e+02    8.1920000000e+03    1.2906937843e-01    3.0839111328e-01
         2   -7.6409483419e+01    5.8436618241e+03   -1.5246293633e+02    7.6053452914e+01    3.7347052477e+01    9.1895337630e+00   -1.9899952257e+02    8.1920000000e+03    1.2907214008e-01    3.0689208984e-01
         3   -7.6371754726e+01    5.8379951340e+03   -1.5214420041e+02    7.5772445680e+01    3.7247003539e+01    9.1895337630e+00   -1.9858073771e+02    8.1920000000e+03    1.2906743787e-01    3.0783203125e-01
         4   -7.6384849911e+01    5.8396103852e+03   -1.5204701576e+02    7.5662165844e+01    3.7274375884e+01    9.1895337630e+00   -1.9851092540e+02    8.1920000000e+03    1.2905797600e-01    3.1051513672e-01
         5   -7.6365260431e+01    5.8371405500e+03   -1.5240124447e+02    7.6035984035e+01    3.7297719370e+01    9.1895337630e+00   -1.9888849760e+02    8.1920000000e+03    1.2906352581e-01    3.0831298828e-01
         6   -7.6364715979e+01    5.8365570421e+03   -1.5254361309e+02    7.6178897108e+01    3.7289265765e+01    9.1895337630e+00   -1.9902241262e+02    8.1920000000e+03    1.2907749302e-01    3.0965087891e-01
         7   -7.6332828707e+01    5.8317723250e+03   -1.5249462474e+02    7.6161796034e+01    3.7312824473e+01    9.1895337630e+00   -1.9899698298e+02    8.1920000000e+03    1.2906623339e-01    3.0905029297e-01
         8   -7.6338738598e+01    5.8328432031e+03   -1.5240795278e+02    7.6069214183e+01    3.7324377409e+01    9.1895337630e+00   -1.9892186395e+02    8.1920000000e+03    1.2906319154e-01    3.0835693359e-01
         9   -7.6329973168e+01    5.8315224592e+03   -1.5277930318e+02    7.6449330014e+01    3.7419877324e+01    9.1895337630e+00   -1.9938871427e+02    8.1920000000e+03    1.2907583261e-01    3.0929931641e-01
        10   -7.6368550516e+01    5.8377276075e+03   -1.5274703367e+02    7.6378483151e+01    3.7256482590e+01    9.1895337630e+00   -1.9919305002e+02    8.1920000000e+03    1.2906096349e-01    3.0729003906e-01
        11   -7.6361880895e+01    5.8367217062e+03   -1.5302664928e+02    7.6664768389e+01    3.7355881210e+01    9.1895337630e+00   -1.9957206426e+02    8.1920000000e+03    1.2907057791e-01    3.0836914063e-01
        12   -7.6391019215e+01    5.8413844462e+03   -1.5317391329e+02    7.6782894071e+01    3.7386954757e+01    9.1895337630e+00   -1.9975040181e+02    8.1920000000e+03    1.2908399762e-01    3.0749755859e-01
        13   -7.6365903201e+01    5.8369249347e+03   -1.5305136657e+02    7.6685463365e+01    3.7335357507e+01    9.1895337630e+00   -1.9957625784e+02    8.1920000000e+03    1.2907318424e-01    3.0831054688e-01
        14   -7.6356698700e+01    5.8356471212e+03   -1.5327299649e+02    7.6916297791e+01    3.7331297025e+01    9.1895337630e+00   -1.9979382728e+02    8.1920000000e+03    1.2906397381e-01    3.0792236328e-01
        15   -7.6338209624e+01    5.8332536834e+03   -1.5295933866e+02    7.6621129031e+01    3.7266755450e+01    9.1895337630e+00   -1.9941562787e+02    8.1920000000e+03    1.2907554693e-01    3.0940429688e-01
        16   -7.6358252366e+01    5.8360604151e+03   -1.5312912683e+02    7.6770874463e+01    3.7189515899e+01    9.1895337630e+00   -1.9950817649e+02    8.1920000000e+03    1.2907542303e-01    3.0976318359e-01
        17   -7.6337906742e+01    5.8326350887e+03   -1.5309542636e+02    7.6757519619e+01    3.7192113390e+01    9.1895337630e+00   -1.9947707351e+02    8.1920000000e+03    1.2908061128e-01    3.1018310547e-01
        18   -7.6361934167e+01    5.8362232448e+03   -1.5309176733e+02    7.6729833159e+01    3.7140784009e+01    9.1895337630e+00   -1.9942208510e+02    8.1920000000e+03    1.2908678270e-01    3.0755371094e-01
        19   -7.6325721624e+01    5.8309723889e+03   -1.5383080849e+02    7.7505086866e+01    3.7353813287e+01    9.1895337630e+00   -2.0037415554e+02    8.1920000000e+03    1.2907077609e-01    3.0856689453e-01
        20   -7.6328212078e+01    5.8311815500e+03   -1.5334109025e+02    7.7012878175e+01    3.7298420201e+01    9.1895337630e+00   -1.9982904422e+02    8.1920000000e+03    1.2906368243e-01    3.0811035156e-01
        21   -7.6314244939e+01    5.8295837570e+03   -1.5313738363e+02    7.6823138695e+01    3.7255557018e+01    9.1895337630e+00   -1.9958247441e+02    8.1920000000e+03    1.2908042134e-01    3.0845458984e-01
        22   -7.6350244027e+01    5.8364629235e+03   -1.5292078156e+02    7.6570537533e+01    3.7401064549e+01    9.1895337630e+00   -1.9951137987e+02    8.1920000000e+03    1.2921820060e-01    3.0718750000e-01
        23   -7.6356302551e+01    5.8358553741e+03   -1.5301437452e+02    7.6658071968e+01    3.7306842416e+01    9.1895337630e+00   -1.9951075070e+02    8.1920000000e+03    1.2907434946e-01    3.0851562500e-01
        24   -7.6343979391e+01    5.8349776158e+03   -1.5329718550e+02    7.6953206112e+01    3.7439440103e+01    9.1895337630e+00   -1.9992615937e+02    8.1920000000e+03    1.2907269989e-01    3.0857666016e-01
        25   -7.6371118101e+01    5.8383261307e+03   -1.5339736974e+02    7.7026251644e+01    3.7365824600e+01    9.1895337630e+00   -1.9995272811e+02    8.1920000000e+03    1.2905348431e-01    3.0846923828e-01
        26   -7.6356490274e+01    5.8363782626e+03   -1.5316977356e+02    7.6813283287e+01    3.7355197081e+01    9.1895337630e+00   -1.9971450441e+02    8.1920000000e+03    1.2906633646e-01    3.0873779297e-01
        27   -7.6345827970e+01    5.8338568060e+03   -1.5276918955e+02    7.6423361579e+01    3.7249016505e+01    9.1895337630e+00   -1.9920773982e+02    8.1920000000e+03    1.2907545219e-01    3.0839111328e-01
        28   -7.6399893537e+01    5.8423932006e+03   -1.5263229534e+02    7.6232401802e+01    3.7256877333e+01    9.1895337630e+00   -1.9907870644e+02    8.1920000000e+03    1.2906526942e-01    3.0770507813e-01
        29   -7.6379304105e+01    5.8389063464e+03   -1.5228488199e+02    7.5905577884e+01    3.7309192824e+01    9.1895337630e+00   -1.9878360858e+02    8.1920000000e+03    1.2906714160e-01    3.0812744141e-01
        30   -7.6358205945e+01    5.8361147594e+03   -1.5240795869e+02    7.6049752742e+01    3.7377215319e+01    9.1895337630e+00   -1.9897470777e+02    8.1920000000e+03    1.2906821866e-01    3.0901611328e-01
        31   -7.6367466973e+01    5.8368539724e+03   -1.5246465599e+02    7.6097189014e+01    3.7358236227e+01    9.1895337630e+00   -1.9901242598e+02    8.1920000000e+03    1.2908003748e-01    3.0696777344e-01
        32   -7.6351034492e+01    5.8345299518e+03   -1.5219916809e+02    7.5848133594e+01    3.7259430372e+01    9.1895337630e+00   -1.9864813222e+02    8.1920000000e+03    1.2906583375e-01    3.0866210938e-01
        33   -7.6338383658e+01    5.8327297764e+03   -1.5264129869e+02    7.6302915036e+01    3.7224274191e+01    9.1895337630e+00   -1.9905510665e+02    8.1920000000e+03    1.2905709632e-01    3.0887695313e-01
        34   -7.6359372387e+01    5.8363998563e+03   -1.5235663495e+02    7.5997262567e+01    3.7209422901e+01    9.1895337630e+00   -1.9875559162e+02    8.1920000000e+03    1.2906596321e-01    3.0968994141e-01
        35   -7.6330560370e+01    5.8321417725e+03   -1.5249968854e+02    7.6169128168e+01    3.7286888409e+01    9.1895337630e+00   -1.9897611071e+02    8.1920000000e+03    1.2906519070e-01    3.0943603516e-01
