#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.6390325210e+01    5.8387589040e+03   -1.5344297988e+02    7.7052654671e+01    3.7289592759e+01    9.1895337630e+00   -1.9992210640e+02    8.1920000000e+03    4.7167134322e-02    3.0898681641e-01
         1   -7.6382071412e+01    5.8377274498e+03   -1.5342936480e+02    7.7047293384e+01    3.7342579560e+01    9.1895337630e+00   -1.9996147812e+02    8.1920000000e+03    4.7439761735e-02    3.0879150391e-01
         2   -7.6391002712e+01    5.8387315602e+03   -1.5311175149e+02    7.6720748774e+01    3.7294336854e+01    9.1895337630e+00   -1.9959562210e+02    8.1920000000e+03    4.7228001126e-02    3.0854980469e-01
         3   -7.6358925281e+01    5.8346327379e+03   -1.5332893586e+02    7.6970010578e+01    3.7400543884e+01    9.1895337630e+00   -1.9991901351e+02    8.1920000000e+03    4.7184978435e-02    3.0950927734e-01
         4   -7.6357885042e+01    5.8342389098e+03   -1.5287512759e+02    7.6517242550e+01    3.7384174964e+01    9.1895337630e+00   -1.9944883632e+02    8.1920000000e+03    4.7168445923e-02    3.1046875000e-01
         5   -7.6356419194e+01    5.8338458496e+03   -1.5289638458e+02    7.6539965383e+01    3.7364852010e+01    9.1895337630e+00   -1.9945077035e+02    8.1920000000e+03    4.7170870359e-02    3.0945556641e-01
         6   -7.6405698147e+01    5.8416493269e+03   -1.5296716791e+02    7.6561469759e+01    3.7353983056e+01    9.1895337630e+00   -1.9951068473e+02    8.1920000000e+03    4.7176008493e-02    3.0863769531e-01
         7   -7.6418459047e+01    5.8433216370e+03   -1.5260934647e+02    7.6190887418e+01    3.7291586464e+01    9.1895337630e+00   -1.9909046669e+02    8.1920000000e+03    4.7172594884e-02    3.0900390625e-01
         8   -7.6411336388e+01    5.8419034945e+03   -1.5225831184e+02    7.5846975449e+01    3.7284009766e+01    9.1895337630e+00   -1.9873185537e+02    8.1920000000e+03    4.7169840299e-02    3.0935546875e-01
         9   -7.6392621647e+01    5.8393299088e+03   -1.5261392819e+02    7.6221306541e+01    3.7330785184e+01    9.1895337630e+00   -1.9913424714e+02    8.1920000000e+03    4.7168810764e-02    3.0997070313e-01
        10   -7.6413978571e+01    5.8434454016e+03   -1.5250957450e+02    7.6095595924e+01    3.7367540245e+01    9.1895337630e+00   -1.9906664850e+02    8.1920000000e+03    4.7180406069e-02    3.0993896484e-01
        11   -7.6425633109e+01    5.8453128874e+03   -1.5256602533e+02    7.6140392223e+01    3.7395448553e+01    9.1895337630e+00   -1.9915100765e+02    8.1920000000e+03    4.7175478969e-02    3.0883544922e-01
