#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.6401573978e+01    5.8409370198e+03   -1.5276487814e+02    7.6363304165e+01    3.7301377039e+01    9.1895337630e+00   -1.9925578895e+02    8.1920000000e+03    1.6233413100e-02    3.0943115234e-01
         1   -7.6397110495e+01    5.8387911494e+03   -1.5297877444e+02    7.6581663943e+01    3.7303128295e+01    9.1895337630e+00   -1.9947143650e+02    8.1920000000e+03    1.6235455078e-02    3.0908691406e-01
         2   -7.6406318605e+01    5.8397152183e+03   -1.5283624479e+02    7.6429926182e+01    3.7207686159e+01    9.1895337630e+00   -1.9923346471e+02    8.1920000000e+03    1.6267420125e-02    3.1155273438e-01
         3   -7.6395757702e+01    5.8381484890e+03   -1.5279290400e+02    7.6397146300e+01    3.7137483906e+01    9.1895337630e+00   -1.9911992167e+02    8.1920000000e+03    1.6237566118e-02    3.0935546875e-01
         4   -7.6392351936e+01    5.8378148021e+03   -1.5284296217e+02    7.6450610232e+01    3.7099848659e+01    9.1895337630e+00   -1.9913234459e+02    8.1920000000e+03    1.6242766106e-02    3.1098876953e-01
         5   -7.6365244932e+01    5.8338093371e+03   -1.5319999858e+02    7.6834753645e+01    3.7208445241e+01    9.1895337630e+00   -1.9959797758e+02    8.1920000000e+03    1.6237514621e-02    3.0983154297e-01
         6   -7.6403435774e+01    5.8399321901e+03   -1.5300458795e+02    7.6601152177e+01    3.7200910001e+01    9.1895337630e+00   -1.9939503172e+02    8.1920000000e+03    1.6224810988e-02    3.0923583984e-01
         7   -7.6392230505e+01    5.8376182231e+03   -1.5319835356e+02    7.6806123050e+01    3.7212131811e+01    9.1895337630e+00   -1.9960001913e+02    8.1920000000e+03    1.6238314328e-02    3.0998046875e-01
         8   -7.6375634651e+01    5.8353312885e+03   -1.5281953020e+02    7.6443895553e+01    3.7054919734e+01    9.1895337630e+00   -1.9906398370e+02    8.1920000000e+03    1.6233075756e-02    3.0938476563e-01
         9   -7.6357880437e+01    5.8325196490e+03   -1.5296415607e+02    7.6606275631e+01    3.7126660608e+01    9.1895337630e+00   -1.9928035044e+02    8.1920000000e+03    1.6234093567e-02    3.0990966797e-01
        10   -7.6389787850e+01    5.8371530588e+03   -1.5295272121e+02    7.6562933358e+01    3.7118523861e+01    9.1895337630e+00   -1.9926077883e+02    8.1920000000e+03    1.6229162648e-02    3.0954589844e-01
