 # Generating QMCPACK input from PYSCF checkpoint file.
 # git sha1: cd196fa67a7c3213761ba0c242586d676be31d55-dirty
 # Date/Time: Sun May  5 15:40:08 2019
 # Working directory: /p/lustre2/malone14/qmcpack_workshop_2019/day1_afqmc/06-diamond_2x2x2_supercell
 # Generating Hamiltonian and wavefunction from pyscf cell object.
 # Time to reach cholesky: 5.00e-02 s
 # Each kpoint is distributed accross 1 mpi tasks.
 # Approx. total memory required: 1.91e+00 GB.
 # Generating orbital products.
 # Time to generate orbital products: 1.29e+02 s
 # Time to generate diagonal (initial residual): 1.10e+00
        iteration      max_residual        total_time         time_k3k4   time_comp_cholv         time_buff
               20  1.1814912082e-01  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
               21  1.1707954395e-01  1.0000000000e-02  0.0000000000e+00  1.0000000000e-02  0.0000000000e+00
               22  1.1029416464e-01  5.0000000000e-02  0.0000000000e+00  4.0000000000e-02  1.0000000000e-02
               23  1.0920538487e-01  2.0000000000e-02  0.0000000000e+00  2.0000000000e-02  0.0000000000e+00
               24  1.0918656671e-01  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
               25  1.0913427190e-01  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
               26  1.0894399742e-01  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
               27  1.0894399574e-01  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
               28  1.0894399451e-01  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
               29  1.0882497822e-01  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
               30  1.0482669474e-01  4.0000000000e-02  0.0000000000e+00  3.0000000000e-02  1.0000000000e-02
               31  1.0254835635e-01  5.0000000000e-02  1.0000000000e-02  3.0000000000e-02  1.0000000000e-02
               32  1.0172936875e-01  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
               33  9.5121563341e-02  2.0000000000e-02  1.0000000000e-02  1.0000000000e-02  0.0000000000e+00
               34  9.3140787056e-02  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
               35  9.2116869922e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
               36  9.1304692693e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
               37  8.9841300024e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
               38  8.9827380684e-02  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
               39  8.9183138850e-02  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
               40  8.9183093262e-02  5.0000000000e-02  0.0000000000e+00  4.0000000000e-02  1.0000000000e-02
               41  8.9183067516e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
               42  8.7945642140e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
               43  8.7922484965e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
               44  8.7051912482e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
               45  8.7030191339e-02  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
               46  8.6999671078e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
               47  7.9708672377e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
               48  7.9525409027e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
               49  7.8649520187e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
               50  7.7488731026e-02  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
               51  7.5861103930e-02  5.0000000000e-02  0.0000000000e+00  4.0000000000e-02  1.0000000000e-02
               52  7.5229383769e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
               53  7.3968838868e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
               54  7.3923962734e-02  2.0000000000e-02  1.0000000000e-02  1.0000000000e-02  0.0000000000e+00
               55  7.1407416208e-02  2.0000000000e-02  1.0000000000e-02  1.0000000000e-02  0.0000000000e+00
               56  7.0307484660e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
               57  6.9083415686e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
               58  6.8121272265e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
               59  6.7363379968e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
               60  6.6903357697e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
               61  6.6869122377e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
               62  6.6785582043e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
               63  6.3381080308e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
               64  6.3312768755e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
               65  6.2452081039e-02  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
               66  6.2076827322e-02  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
               67  6.0451075026e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
               68  5.9031704715e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
               69  5.8859858036e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
               70  5.8848117091e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
               71  5.8062048201e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
               72  5.7976885739e-02  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
               73  5.7902451447e-02  1.0000000000e-02  0.0000000000e+00  1.0000000000e-02  0.0000000000e+00
               74  5.6623549193e-02  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
               75  5.4794784266e-02  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
               76  5.4438089023e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
               77  5.4232209951e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
               78  5.2766913602e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
               79  5.2135186684e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
               80  5.1908158977e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
               81  5.1402192717e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
               82  5.1028689002e-02  6.0000000000e-02  1.0000000000e-02  4.0000000000e-02  1.0000000000e-02
               83  5.0790948045e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
               84  4.9245179596e-02  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
               85  4.9126981536e-02  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
               86  4.8906401184e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
               87  4.8141958554e-02  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
               88  4.4747306490e-02  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
               89  4.3115917743e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
               90  4.3034794675e-02  3.0000000000e-02  1.0000000000e-02  1.0000000000e-02  1.0000000000e-02
               91  4.3020178809e-02  5.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
               92  4.2884588550e-02  1.0000000000e-02  0.0000000000e+00  1.0000000000e-02  0.0000000000e+00
               93  4.1916285179e-02  3.0000000000e-02  1.0000000000e-02  1.0000000000e-02  1.0000000000e-02
               94  4.0765322171e-02  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
               95  3.9418472373e-02  2.0000000000e-02  0.0000000000e+00  2.0000000000e-02  0.0000000000e+00
               96  3.9124610468e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
               97  3.8934268613e-02  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
               98  3.5941798159e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
               99  3.5873517547e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              100  3.4539086479e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              101  3.3833533138e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              102  3.3734854204e-02  2.0000000000e-02  0.0000000000e+00  2.0000000000e-02  0.0000000000e+00
              103  3.3543447678e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              104  3.3454915500e-02  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
              105  3.3417197169e-02  5.0000000000e-02  0.0000000000e+00  4.0000000000e-02  1.0000000000e-02
              106  3.2913597659e-02  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
              107  3.2905438608e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              108  3.2329729153e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              109  3.2269500079e-02  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
              110  3.1650504878e-02  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
              111  3.1610094572e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              112  3.1073605143e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              113  3.0551170257e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              114  3.0468871606e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              115  3.0451977146e-02  6.0000000000e-02  0.0000000000e+00  5.0000000000e-02  1.0000000000e-02
