#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         MPC                 BlockWeight         BlockCPU            AcceptRatio         
        21   -4.5090118659e+01    2.0342082240e+03   -8.2206553064e+01    3.7116434405e+01   -1.0705391665e+01   -5.1102678377e+01   -2.4965735752e+01    4.5672527302e+00   -1.0400779790e+01    5.1200000000e+02    1.9336523813e-01    5.6051635742e-01
        22   -4.5200570905e+01    2.0442010829e+03   -8.0876835198e+01    3.5676264293e+01   -1.0590292412e+01   -5.1102678377e+01   -2.3523797379e+01    4.3399329703e+00   -1.0284907222e+01    5.1200000000e+02    1.8674557575e-01    5.6019897461e-01
        23   -4.5120468248e+01    2.0367891900e+03   -8.1367636911e+01    3.6247168663e+01   -1.0797708751e+01   -5.1102678377e+01   -2.4048263844e+01    4.5810140599e+00   -1.0480537281e+01    5.1200000000e+02    1.9280014919e-01    5.6174926758e-01
        24   -4.4945919614e+01    2.0212022776e+03   -8.1458550629e+01    3.6512631015e+01   -1.0513126538e+01   -5.1102678377e+01   -2.4390287984e+01    4.5475422696e+00   -1.0204664458e+01    5.1200000000e+02    1.9186953956e-01    5.6190185547e-01
        25   -4.5110661313e+01    2.0362839627e+03   -8.2027205373e+01    3.6916544060e+01   -1.0814185138e+01   -5.1102678377e+01   -2.4439431184e+01    4.3290893259e+00   -1.0502934044e+01    5.1200000000e+02    1.9175332069e-01    5.6138305664e-01
        26   -4.5103850205e+01    2.0354497538e+03   -8.2220841734e+01    3.7116991529e+01   -1.0667800812e+01   -5.1102678377e+01   -2.5047219736e+01    4.5968571913e+00   -1.0364544619e+01    5.1200000000e+02    1.9473122794e-01    5.6006469727e-01
        27   -4.5068791113e+01    2.0324259836e+03   -8.1497113191e+01    3.6428322078e+01   -1.0910286031e+01   -5.1102678377e+01   -2.3937807913e+01    4.4536591305e+00   -1.0587833264e+01    5.1200000000e+02    1.8844898469e-01    5.6085815430e-01
        28   -4.5144527097e+01    2.0390317294e+03   -8.1898204324e+01    3.6753677227e+01   -1.0785462155e+01   -5.1102678377e+01   -2.4720724537e+01    4.7106607446e+00   -1.0489526712e+01    5.1200000000e+02    1.9368780344e-01    5.6217651367e-01
        29   -4.5029790574e+01    2.0287381737e+03   -8.1734584159e+01    3.6704793585e+01   -1.0746203478e+01   -5.1102678377e+01   -2.4094887255e+01    4.2091849515e+00   -1.0434742179e+01    5.1200000000e+02    1.8620478494e-01    5.5974121094e-01
        30   -4.5117446447e+01    2.0366314257e+03   -8.1373887182e+01    3.6256440735e+01   -1.0898044058e+01   -5.1102678377e+01   -2.4149721003e+01    4.7765562557e+00   -1.0596600848e+01    5.1200000000e+02    1.9183299337e-01    5.5834960938e-01
        31   -4.5111575931e+01    2.0360579351e+03   -8.1722960073e+01    3.6611384143e+01   -1.0662565322e+01   -5.1102678377e+01   -2.4724305737e+01    4.7665893621e+00   -1.0348312295e+01    5.1200000000e+02    1.9085209187e-01    5.5773925781e-01
