converged SCF energy = -108.606225806527
 # Transforming hcore and eri to ortho AO basis.
 # Performing modified Cholesky decomposition on ERI tensor.
 # Generating Cholesky decomposition of ERIs.
 # max number of cholesky vectors = 280
        iteration      max_residual              time
              136  8.3893571392e-05  9.4389915466e-04
              137  8.3893571392e-05  9.4199180603e-04
              138  8.1144319422e-05  9.2816352844e-04
              139  7.8362122368e-05  9.8800659180e-04
              140  7.8362122368e-05  1.0008811951e-03
              141  7.5331767718e-05  9.5105171204e-04
              142  7.0922388027e-05  9.5796585083e-04
              143  7.0922388027e-05  9.4604492188e-04
              144  6.9181813026e-05  9.4604492188e-04
              145  6.9181813026e-05  9.5009803772e-04
              146  5.8577387302e-05  9.7513198853e-04
              147  5.8465426846e-05  9.6988677979e-04
              148  4.4584409634e-05  9.5891952515e-04
              149  3.2503157128e-05  9.5605850220e-04
              150  3.2503157128e-05  9.6893310547e-04
              151  3.1090501570e-05  9.5582008362e-04
              152  3.1082931409e-05  9.5701217651e-04
              153  3.0339668872e-05  9.6797943115e-04
              154  3.0339668872e-05  9.4985961914e-04
              155  2.5587294602e-05  9.9205970764e-04
              156  2.5587294602e-05  1.0018348694e-03
              157  2.5087629782e-05  9.8013877869e-04
              158  2.2044191567e-05  9.6511840820e-04
              159  2.2044191567e-05  9.8299980164e-04
              160  2.0566762328e-05  9.7107887268e-04
              161  2.0371066859e-05  9.9182128906e-04
              162  2.0371066859e-05  1.0991096497e-03
              163  1.8257700380e-05  9.7584724426e-04
              164  1.2806405465e-05  9.7203254700e-04
              165  1.2724695484e-05  9.7799301147e-04
              166  1.2385677366e-05  9.9611282349e-04
              167  1.2156644008e-05  1.0149478912e-03
              168  1.1352276732e-05  9.8204612732e-04
              169  6.4427517065e-06  1.0049343109e-03
 # Orthogonalising Cholesky vectors.
 # Time to orthogonalise: 0.002925
 # Total number of non-zero elements in sparse cholesky ERI tensor: 132132
 # Sparsity of ERI Cholesky tensor: 0.002747
 # Total memory required for ERI tensor: 7.87568092e-03 GB
CASSCF energy = -108.916484584348
CASCI E = -108.916484584348  E(CI) = -10.6184527261043  S^2 = 0.0000000
 # Transforming hcore and eri to ortho AO basis.
 # Performing modified Cholesky decomposition on ERI tensor.
 # Generating Cholesky decomposition of ERIs.
 # max number of cholesky vectors = 280
        iteration      max_residual              time
                0  4.1222527349e+00  1.2223958969e-02
                1  4.0952987566e+00  1.2750625610e-03
                2  6.0284434624e-01  1.1088848114e-03
                3  5.6420104042e-01  1.1370182037e-03
                4  2.1362550866e-01  9.8896026611e-04
                5  2.0685452640e-01  9.8395347595e-04
                6  1.5487209282e-01  1.1129379272e-03
                7  1.5487209282e-01  1.1160373688e-03
                8  1.5416490193e-01  1.1060237885e-03
                9  1.5416490193e-01  1.1160373688e-03
               10  1.4782887263e-01  1.1148452759e-03
               11  1.4392245562e-01  1.1150836945e-03
               12  1.1601111795e-01  1.0459423065e-03
               13  1.1574805721e-01  1.0390281677e-03
               14  1.1323108309e-01  1.0440349579e-03
               15  1.1307498750e-01  1.0471343994e-03
               16  1.0487730753e-01  9.3078613281e-04
               17  9.9420409061e-02  9.3197822571e-04
               18  5.8410691232e-02  9.9992752075e-04
               19  5.8369048908e-02  1.0111331940e-03
               20  5.8096556992e-02  1.0068416595e-03
               21  5.8096556992e-02  1.0139942169e-03
               22  5.7482173698e-02  1.0111331940e-03
               23  5.7482173698e-02  1.0271072388e-03
               24  5.3092037522e-02  9.6702575684e-04
               25  4.9739936971e-02  9.8490715027e-04
               26  4.8715241546e-02  9.4103813171e-04
               27  4.8460055275e-02  9.3507766724e-04
               28  4.3969986004e-02  9.6392631531e-04
               29  4.3896087486e-02  9.9015235901e-04
               30  4.2242948453e-02  1.1208057404e-03
               31  4.2242948453e-02  1.1301040649e-03
               32  4.2242664416e-02  1.1129379272e-03
               33  4.2242664416e-02  1.1291503906e-03
               34  4.2054785158e-02  1.1348724365e-03
               35  4.2052229944e-02  1.1179447174e-03
               36  4.1913743868e-02  9.6511840820e-04
               37  4.1905636822e-02  9.9301338196e-04
