# block  time  nWalkers weight PseudoEloc LogOvlpFactor EnergyEstim__nume_real  EnergyEstim__nume_imag EnergyEstim__deno_real  EnergyEstim__deno_imag EnergyEstim__timer EnergyEstim__nume_real  EnergyEstim__nume_imag EnergyEstim__deno_real  EnergyEstim__deno_imag EnergyEstim__timer OneBodyEnergyEstim__nume_real ECoulEnergyEstim__nume_real EXXEnergyEstim__nume_real Eshift freeMemory 
1 0.05 800 812.831 -55.79820072573316 -0.04672366509498288 -128.5628403600061 -8.158599016388025e-05 1 -2.359694390872879e-18 0.004111676011234522 -128.5628403600061 -8.158599016388025e-05 1 -2.359694390872879e-18 0 -182.4031618663778 -12.05379259680532 65.89411410317707 -62.6334259558  124069 
2 0.1 800 799.988 -62.59505054739653 -0.1062295997421379 -128.6048546354696 0.0003515875276631467 1 -1.20620921744914e-19 0.004068204667419195 -128.6048546354696 0.0003515875276631467 1 -1.20620921744914e-19 0 -182.4012153821721 -12.03414461555799 65.8305053622605 -62.5911666619  124069 
3 0.15 800 800.01 -62.59412134636473 -0.1494576498746102 -128.6332923273098 0.0003923658237537145 0.9999999999999999 1.917638943282866e-18 0.003947173245251179 -128.6332923273098 0.0003923658237537145 0.9999999999999999 1.917638943282866e-18 0 -182.4021600344552 -12.01916269036786 65.78803039751321 -62.680824348  124069 
4 0.2 800 799.987 -62.64824916171582 -0.1767379697505198 -128.6502184174941 -0.000390149639538487 1 -1.16883453465558e-18 0.003920415416359901 -128.6502184174941 -0.000390149639538487 1 -1.16883453465558e-18 0 -182.3851838945501 -12.0082610887397 65.74322656579567 -62.6813165902  124069 
5 0.25 800 799.975 -62.67503991997091 -0.1978232703925176 -128.6702736254408 0.001488030668369218 1 9.534120754321362e-19 0.003918985370546579 -128.6702736254408 0.001488030668369218 1 9.534120754321362e-19 0 -182.3719600526433 -11.99694665168697 65.69863307888943 -62.6408138202  124069 
6 0.3 800 799.993 -62.69563914230872 -0.218970482670987 -128.6807433154869 -0.0004449445388110549 0.9999999999999999 6.558142093842463e-19 0.003876199014484882 -128.6807433154869 -0.0004449445388110549 0.9999999999999999 6.558142093842463e-19 0 -182.3652785496207 -11.99092529174391 65.67546052587767 -62.7119627896  124070 
7 0.35 800 799.948 -62.69595313559246 -0.2307925711734679 -128.6860398097323 -0.002459710437281113 1 3.128187278299379e-18 0.00385778397321701 -128.6860398097323 -0.002459710437281113 1 3.128187278299379e-18 0 -182.3615511412348 -11.98709763387209 65.66260896537456 -62.580340601  124070 
8 0.4 800 799.979 -62.66377194197814 -0.240153242207032 -128.6888676883088 -0.004027955883694469 1 1.405205147270562e-19 0.003884621895849705 -128.6888676883088 -0.004027955883694469 1 1.405205147270562e-19 0 -182.3402184694265 -11.9826130188908 65.63396380000846 -62.6206786962  124070 
9 0.45 800 799.985 -62.68986756535374 -0.2478970703414285 -128.6922470902647 -0.002558037163552216 1 -7.135065604731473e-19 0.003865293227136135 -128.6922470902647 -0.002558037163552216 1 -7.135065604731473e-19 0 -182.3352187771931 -11.97864793350225 65.62161962043064 -62.6939381743  124070 
10 0.5 800 799.981 -62.7080735708274 -0.2541348705510297 -128.6952475041719 0.0003670286639787956 1 -1.722579077433687e-18 0.003869790118187666 -128.6952475041719 0.0003670286639787956 1 -1.722579077433687e-18 0 -182.3309195825879 -11.97542812556568 65.61110020398169 -62.7620988549  124070 
11 0.55 800 799.949 -62.72020386149217 -0.2617560937286286 -128.7003126841323 -0.000956358301280425 1 3.130071560826543e-19 0.003842162899672985 -128.7003126841323 -0.000956358301280425 1 3.130071560826543e-19 0 -182.326881224437 -11.97363368582629 65.60020222613093 -62.6679204758  124070 
12 0.6 800 799.97 -62.71275750997236 -0.2686809382943125 -128.705455845537 -0.001320471481761001 0.9999999999999999 1.309330563136834e-19 0.003905942663550377 -128.705455845537 -0.001320471481761001 0.9999999999999999 1.309330563136834e-19 0 -182.3241579960046 -11.97046905890067 65.58917120936829 -62.6988230746  124070 
13 0.65 800 799.951 -62.72209863524839 -0.2735857710053888 -128.7066820730387 -0.002306350468887927 1 -1.896212241628025e-18 0.003874638117849827 -128.7066820730387 -0.002306350468887927 1 -1.896212241628025e-18 0 -182.3152797929751 -11.96797747468493 65.5765751946214 -62.6437400357  124070 
14 0.7 800 799.974 -62.70506332691484 -0.2788690921532799 -128.7143400750887 -0.003965675290954858 0.9999999999999999 -4.990986946609672e-18 0.003839472774416208 -128.7143400750887 -0.003965675290954858 0.9999999999999999 -4.990986946609672e-18 0 -182.2994242546136 -11.96410980691919 65.54919398644405 -62.7148849344  124070 
15 0.75 800 799.922 -62.69366089862133 -0.281254539391811 -128.7138499794985 -0.003278583525080342 1 -3.527340746845096e-18 0.003820652142167091 -128.7138499794985 -0.003278583525080342 1 -3.527340746845096e-18 0 -182.3055151788264 -11.96484767162552 65.55651287095341 -62.5206477023  124070 
16 0.8 800 799.974 -62.71545456700612 -0.2849060623548242 -128.7136337161075 0.0002051735831893421 1 -1.84103205069144e-18 0.003834831062704325 -128.7136337161075 0.0002051735831893421 1 -1.84103205069144e-18 0 -182.3188986106059 -11.96765559336266 65.57292048786107 -62.6060004188  124070 
17 0.85 800 799.999 -62.73992637409854 -0.2888991628958631 -128.7097723388205 -0.001667359190700804 1 -1.050807639077643e-18 0.003829998895525932 -128.7097723388205 -0.001667359190700804 1 -1.050807639077643e-18 0 -182.2901991552983 -11.96262935096294 65.54305616744075 -62.8148675546  124070 
